record_id,record_kind,title,scope_class,timestream_facets,work_packet,xod_links,ts_clarification_links,package_decision_links,current_state,owner,closure_target,notes,repair_artifact,successor_version,owner_approval,source_digest,closure_commit,ts_reaudit_result
"F-011","BASELINE_FINDING","PTC disabled-route equation is narrower than its disabled-route requirement","REQUIRED","signal;lifecycle;response;uncertainty;publication;provenance","WP-1_PTC_SUCCESSOR","XOD-017","TS-CLAR-001","","OPEN","SCI-PTC scientific owner","Exhaustive role-indexed disabled-state table covering learned evidence, resolved model, centering, fitted and removed components, application, transformed product, coefficients, response, covariance, publication, failure state, and the already-declared outward PTC-dependent MAP role as explicitly non-realized/deferred.","Preserve the baseline class and ID. This is formal role-map incompleteness, not an affirmative mathematical contradiction like F-001 or F-002; preserving a typed non-realized outward role does not authorize a MAP route.","","","","","",""
"F-012","BASELINE_FINDING","Complete source-to-map response is not presently closed","CLAIM_TIER","response;signal;coordinate;provenance","WP-6_TS_CLAIM_TIERS","XOD-011","TS-CLAR-001","PTC-OD-008;SCI-MAP-OD-003","OPEN","ALIGN, RTC, CAL, PTC, AST, and external source/beam response owners; MAP owner deferred","For the response-qualified timestream tier, exact source/beam-to-PTC composition for fixed resolved state with frozen membership, support, masks, model, and selection; or a separately named full-procedure response that reruns the procedure and records changed selection, support, rank, masks, and other delta_state; plus typed unavailable links and claim restrictions.","Mixed finding: the source-to-PTC facet is a timestream claim tier; MAP deposition and response-unavailable map-use disposition remain deferred. A typed signal-only timestream may close below this tier.","","","","","",""
"F-013","BASELINE_FINDING","The uncertainty chain is typed but numerically incomplete","CLAIM_TIER","uncertainty;response;policy;provenance","WP-6_TS_CLAIM_TIERS","XOD-012","TS-CLAR-001","PTC-OD-009;SCI-MAP-OD-004","OPEN","ALIGN, AST, RTC, CAL, PTC, NOI, and relevant nuisance scientific owners; MAP owner deferred","For the uncertainty-qualified timestream tier, exact conditional covariance or lineage representation through PTC, explicit axes, units, support, rank, approximations, correlations, and typed omitted terms.","Mixed finding: MAP persistence/representation is deferred. Base processed timestream closure may preserve unavailable total uncertainty; total precision or significance requires separate evidence.","","","","","",""
"F-014","BASELINE_FINDING","MAP projection operator `G_pi` has no resolved scientific authority","DEFERRED_MAP","map_projection","DEFERRED_MAP","XOD-010","","SCI-MAP-OD-008","DEFERRED","SCI-MAP scientific owner; future named materializer","Future owner-approved MAP projection classes, normalization, boundary, conservation, and request-to-artifact contract.","Entirely outside the processed-timestream endpoint. Baseline finding remains open; deferral is not closure.","","","","","",""
"F-015","BASELINE_FINDING","No registered aggregation or observation-coadd admission profile exists","DEFERRED_MAP","aggregation;coadd","DEFERRED_MAP","XOD-007","","","DEFERRED","Aggregate/coadd use owner; SCI-VAL Registry; SCI-MAP compatibility owner","Future complete homogeneous aggregate/coadd profile and compatibility contract.","Entirely outside the single-observation processed-timestream endpoint. Baseline finding remains open.","","","","","",""
"F-016","BASELINE_FINDING","CAL, VAL, and MAP are not frozen and lack one final text-source binding pattern","REQUIRED","provenance;source_authority;lifecycle","WP-3_CAL_EXTERNAL_PRODUCERS;WP-5_VAL_BINDINGS_PROFILES;WP-7_FREEZE_REAUDIT","XOD-016","","","OPEN","SCI-CAL and SCI-VAL scientific owners and source-manifest authorities; SCI-MAP owner deferred","Exact final CAL and VAL canonical text/PDF identities, digests, manifests, approval records, and compatibility bindings for the repaired timestream chain.","Mixed finding: WP-3 produces the CAL freeze, WP-5 produces the VAL freeze, and WP-7 verifies and binds them for re-audit; MAP freeze remains open and deferred. A repaired PTC successor receives its own freeze evidence under WP-1.","packages/SCI-CAL/v0.1/SCIENTIFIC_OWNER_FREEZE_R0.5.md; audits/SIX_PACKAGE_TIMESTREAM_CLOSURE_PROGRAM_55EFD8A/WP3_SOURCE_MANIFEST.md","SCI-CAL v0.1/r0.5-r0.4; WP-3 reference binding","WP3-OWNER-D001 approved 2026-08-23; WP3-OWNER-D002--D008 approved 2026-08-24","CAL freeze 413426f49edf1249f751a05bb8c6e9fd907b11e8da0530fe2da39814885efb22; WP3 packet 26d1e75094a5cf465199f87f33332326e5d196d5c66926c8868b8928ce2fff4c; register 96338b56aa57211d2e59664f6eeb9514d0846d51aca94bcb9cbf11d076402efe","",""
"F-017","BASELINE_FINDING","Several required producer facts are owned outside the admitted packet","REQUIRED","identity;signal;coordinate;response;uncertainty;exposure;provenance","WP-2A_NATIVE_READOUT_INTERFACE;WP-3_CAL_EXTERNAL_PRODUCERS","XOD-015","TS-CLAR-001;TS-CLAR-002","PTC-OD-005;PTC-OD-007;PTC-OD-011","OPEN","Each named external scientific producer plus each consuming package boundary owner","Exact versioned producer-interface records and runtime binding rules for Tune/readout, TEL timing and fields, pointing, geometry/APT, BEAM/flxscale, atmosphere/passband, source/model, and frame/EOP/refraction roles required by the selected timestream route and named claim tier.","Mixed and claim-local: native Tune/readout and x/r acquisition identity is an upstream ALIGN/RTC obligation under WP-2A, not a CAL interpretation; the remaining TEL timing, required CAL/PTC, coordinate/source/beam, response, and nuisance facets retain their claim-local gates. Actual observation instances are execution-time realizations. Optional roles may be explicitly not requested or unavailable. MAP-only dependencies remain deferred.","producer_interfaces/v0.1/TUNE_READOUT_NATIVE_XR_PRODUCER_INTERFACE.md; audits/SIX_PACKAGE_TIMESTREAM_CLOSURE_PROGRAM_55EFD8A/WP3_REFERENCE_BINDING_REGISTER.md","v0.1/r0.1 exact approved; WP-3 reference binding","WP2-FOLLOWUP-D011, exact Tune/readout v0.1/r0.1 artifact, and WP3-OWNER-D002--D008 approved","Tune interface f9659b34a49a07d4287c4a70db798cdd2ec30049531da603fcca1e9d1fdd5969; register 96338b56aa57211d2e59664f6eeb9514d0846d51aca94bcb9cbf11d076402efe","",""
"F-018","BASELINE_FINDING","Disabled PTC does not authorize a direct CAL-to-MAP route","DEFERRED_MAP","alternate_map_route","DEFERRED_MAP","XOD-013","","","DEFERRED","Future SCI-MAP and direct-route scientific owners","Future explicit authorization or prohibition of a complete CAL-to-MAP route.","The timestream endpoint may terminate legitimately at RTC, CAL, or a disabled PTC state. No MAP fallback is inferred; baseline finding remains open.","","","","","",""
"F-019","BASELINE_FINDING","Exposure has no explicit PTC-to-MAP producer handoff","REQUIRED","exposure;support;identity;policy;provenance","WP-2_TS_BOUNDARIES","XOD-018","TS-CLAR-002","","OPEN","ALIGN, RTC, CAL, and PTC scientific owners; independent-exposure policy owner; MAP exposure owner deferred","Owner-approved occurrence-level lineage that preserves immutable ALIGN physical acquired and valid-original exposure facts through RTC, CAL, and PTC output identity with exact parent/support relations; any additional derived exposure is separately named and has an exact formula and parent relation.","Mixed finding: the timestream lineage is required; upstream-eligible, retained, projected, or coadded MAP exposure remains open and deferred. No downstream stage may replace or rewrite the ALIGN facts, and no exposure may be reconstructed from duration, support, weight, or hits.","boundaries/v0.1/TIMESTREAM_EXPOSURE_LINEAGE_BOUNDARY.md (timestream facet only)","v0.1/r0.1","Exact packet approved 2026-08-23 at 967cf83452269038d13c7233ce40ba8e2c8a1790; MAP facet deferred","4e2e3cda643a687932dd659c5d8008c7e4865a3368f66121a083eb8657a7dceb","",""
"F-020","BASELINE_FINDING","CAL engineering-only/science-qualification facts lack downstream named-use policy","REQUIRED","policy;signal;lifecycle;provenance","WP-5_VAL_BINDINGS_PROFILES","XOD-004;XOD-005","TS-CLAR-001","","OPEN","SCI-CAL fact owner; SCI-PTC named-use owners; SCI-VAL Registry; SCI-MAP use owner deferred","Every supported/requested PTC use profile explicitly binds CAL engineering-only and science-qualification facts, including applicability, missing/conflict behavior, exceptions, and exact consumer action; every unsupported or owner-proved-equivalent identity has an explicit compatible disposition.","Mixed finding: PTC use dispositions are required; MAP admission/coadd dispositions remain deferred. CAL classification stays a producer fact, not a universal decision.","","","","","",""
"F-021","BASELINE_FINDING","MAP has no owner disposition for response-unavailable bundle use","DEFERRED_MAP","map_response_policy","DEFERRED_MAP","XOD-011","","SCI-MAP-OD-003","DEFERRED","SCI-MAP scientific owner and future downstream use owners","Future product-role-specific disposition for response-unavailable map bundles.","Entirely MAP-facing. Its deferral does not prevent a timestream from preserving response=unavailable; it prevents later map-use claims only.","","","","","",""
"F-022","BASELINE_FINDING","Frozen ALIGN/AST bytes retain draft-status language","NONBLOCKING","provenance","WP-4_SOURCE_HYGIENE","XOD-016","","","CARRY_FORWARD","ALIGN and AST source-manifest authorities","Carry the immutable-byte exception and exact freeze-manifest authority; optionally issue a later status-clean successor.","Do not reopen ALIGN or AST solely to edit embedded labels. This warning remains visible and is not represented as a scientific repair.","","","","","",""
"F-023","BASELINE_FINDING","No exact MAP-facing analysis coefficient is owner-resolved","DEFERRED_MAP","map_coefficient","DEFERRED_MAP","XOD-014","","PTC-OD-010","DEFERRED","SCI-PTC coefficient-family owner; SCI-MAP estimator-use owner","Future exact MAP-facing coefficient family and estimator-use contract.","MAP-facing coefficient selection is deferred. Internal PTC loadings, diagnostics, and coefficient/QC profile semantics remain governed by F-004 and may not be promoted to MAP weight.","","","","","",""
"F-024","BASELINE_FINDING","MAP support-policy numerical domain remains owner-open","DEFERRED_MAP","map_support_policy","DEFERRED_MAP","XOD-019","","SCI-MAP-OD-007","DEFERRED","SCI-MAP scientific owner","Future authorized coverage_cut domain, boundaries, missing/nonfinite behavior, policy binding, failure, and publication rules.","Entirely outside the timestream endpoint. Baseline finding remains open.","","","","","",""
"F-025","BASELINE_FINDING","Canonical-grid preparation and reprojection ownership are unresolved","DEFERRED_MAP","coadd;reprojection;mosaic","DEFERRED_MAP","XOD-020","","SCI-MAP-OD-009","DEFERRED","SCI-MAP scientific owner; future grid-transform owner","Future canonical-grid preparation, reprojection, or mosaic authority and propagation contract.","Entirely outside the timestream endpoint. Baseline finding remains open.","","","","","",""
"TS-CLAR-001","POST_AUDIT_TS_CLARIFICATION","Concrete ordinary PTC processed-timestream route","REQUIRED","signal;policy;response;uncertainty;lifecycle;provenance","WP-1_PTC_SUCCESSOR","XOD-001;XOD-002;XOD-004;XOD-015","","PTC-OD-001;PTC-OD-002;PTC-OD-003;PTC-OD-004;PTC-OD-005;PTC-OD-007;PTC-OD-008;PTC-OD-009;PTC-OD-011","OPEN","SCI-PTC scientific owner; CAL input-interface owner; PTC named-use profile owners","One complete owner-approved ordinary processed-timestream route naming estimator family and candidates, CAL input role, centering/scaling, groups, fit/loading/application/output supports, predicates, thresholds/refinement, source protection, response/covariance tier, failure, disabled state, and output identity.","This is an added closure objective, not a new baseline defect. WP-1 authors only its package-local PTC portion; final closure also requires the applicable WP-3 CAL/interface bindings, WP-5 VAL dispositions/profiles, and WP-7 source binding and re-audit. The owner may require an explicit request rather than select defaults. Optional r, source-model, full-response, and stronger covariance roles must be explicitly requested, unavailable, or deferred. MAP-center PTC-OD-006 and MAP coefficient PTC-OD-010 remain excluded.","","","","","",""
"TS-CLAR-002","POST_AUDIT_TS_CLARIFICATION","Physical and valid-original exposure lineage through the processed timestream","REQUIRED","exposure;support;identity;policy;provenance","WP-2_TS_BOUNDARIES","XOD-006;XOD-018","","","OPEN","ALIGN, RTC, CAL, and PTC scientific owners; independent-exposure policy owner","Exact owner-approved rule preserving immutable ALIGN physical acquired and valid-original exposure facts through RTC, CAL, and PTC occurrence/output identity, including support relation, causes, missing state, and provenance; any derived exposure is separately named with an exact formula and parent relation.","This narrows the timestream facet exposed by F-019 without pretending to close its MAP facet. Intermediate packages may not rewrite the ALIGN facts or manufacture exposure from support, sample duration, weights, or retention. MAP retained/projected exposure remains deferred.","boundaries/v0.1/TIMESTREAM_EXPOSURE_LINEAGE_BOUNDARY.md","v0.1/r0.1","Exact packet approved 2026-08-23 at 967cf83452269038d13c7233ce40ba8e2c8a1790","4e2e3cda643a687932dd659c5d8008c7e4865a3368f66121a083eb8657a7dceb","",""
