invariant_id,short_name,lane,producer_package,producer_source,producer_clause,consumer_package,consumer_source,consumer_clause,relation,status,finding_id,owner_decision_id,map_handoff_member
"IF-011","ALIGN facts to VAL","policy","SCI-ALIGN","packages/SCI-ALIGN/v0.1/src/common/requirements.tex","SCI-ALIGN-REQ-027--030; SCI-ALIGN-REQ-034--036; SCI-ALIGN-REQ-050","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-001--008; SCI-VAL-REQ-019; SCI-VAL-REQ-049","compatible convention","SOURCE-BINDING OR VERSION GAP","F-003","XOD-003","VAL decision source binding"
"IF-012","AST facts to VAL","policy","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-010--012; SCI-AST-REQ-054--060","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-001--008; SCI-VAL-REQ-023--025; SCI-VAL-REQ-049","compatible convention","SOURCE-BINDING OR VERSION GAP","F-003","XOD-003","VAL decision source binding"
"IF-013","RTC facts to VAL","policy","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-019--020; SCI-RTC-REQ-046; SCI-RTC-REQ-052; SCI-RTC-REQ-114; SCI-RTC-REQ-134","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-019--022; SCI-VAL-REQ-049","compatible convention","SOURCE-BINDING OR VERSION GAP","F-003","XOD-003","VAL decision source binding"
"IF-014","CAL facts to VAL","policy","SCI-CAL","packages/SCI-CAL/v0.1/src/common/requirements.tex","SCI-CAL-REQ-004--005; SCI-CAL-REQ-045--049","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-001--008; SCI-VAL-REQ-023--025; SCI-VAL-REQ-049","compatible convention","SOURCE-BINDING OR VERSION GAP","F-003","XOD-003","VAL decision source binding"
"IF-015","PTC facts and named uses to VAL","policy","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-011--017; SCI-PTC-REQ-047; SCI-PTC-REQ-052--068","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-001--010; SCI-VAL-REQ-025--026; SCI-VAL-REQ-044--049","compatible convention","PROFILE REGISTRY GAP","F-002; F-004","XOD-002; XOD-004","VAL decision source binding"
"IF-016","VAL to PTC basis-fit decision","policy","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","reserved SCI-PTC:basis_fit_admission only","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-012--016; SCI-PTC-REQ-034--035","unavailable","PROFILE REGISTRY GAP","F-002; F-004","XOD-002; XOD-004","VAL PTC basis-fit decision"
"IF-017","VAL to PTC loading-fit decision","policy","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","reserved SCI-PTC:loading_fit_admission only","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-012--016; SCI-PTC-REQ-029","unavailable","PROFILE REGISTRY GAP","F-002; F-004","XOD-002; XOD-004","VAL PTC loading-fit decision"
"IF-018","VAL to PTC frozen-application decision","policy","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","reserved SCI-PTC:operator_application only","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-012--015; SCI-PTC-REQ-083; SCI-PTC-REQ-089","unavailable","PROFILE REGISTRY GAP","F-001; F-002; F-004","XOD-001; XOD-002; XOD-004","VAL PTC application decision"
"IF-019","VAL to PTC output-retention decision","policy","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","reserved SCI-PTC:output_retention only","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-012; SCI-PTC-REQ-015; SCI-PTC-REQ-047","unavailable","PROFILE REGISTRY GAP","F-001; F-002; F-004","XOD-001; XOD-002; XOD-004","VAL PTC output decision"
"IF-020","VAL to PTC coefficient/QC decision","policy","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","reserved SCI-PTC:coefficient_qc_population only","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-012--013; SCI-PTC-REQ-047; SCI-PTC-REQ-052--055","unavailable","PROFILE REGISTRY GAP","F-002; F-004; F-023","XOD-002; XOD-004; XOD-014","analysis coefficient eligibility"
"IF-021","VAL to PTC response and population decisions","policy; response","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","reserved SCI-PTC:response_companion and SCI-PTC:empirical_or_simulation_population only","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-012; SCI-PTC-REQ-056--068; SCI-PTC-REQ-082","unavailable","PROFILE REGISTRY GAP","F-002; F-004; F-012","XOD-002; XOD-004; XOD-011","response and uncertainty admission"
"IF-022","AST continuous coordinate to MAP","coordinate","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-074--083","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-003; SCI-MAP-REQ-005; SCI-MAP-REQ-010--011","explicit narrowing","OWNER DECISION REQUIRED","F-014","XOD-010","AST RTC-grid coordinate/WCS and G_pi parent"
"IF-023","RTC/CAL/PTC signal and response to MAP","signal; response","SCI-RTC; SCI-CAL; SCI-PTC","packages/SCI-RTC/v0.1/src/common/requirements.tex; packages/SCI-CAL/v0.1/src/common/requirements.tex; packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-037--045; SCI-CAL-REQ-039--043; SCI-PTC-REQ-061--069; SCI-PTC-REQ-087","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-002; SCI-MAP-REQ-006--008; SCI-MAP-REQ-010--023","compatible convention","RESPONSE GAP","F-012","XOD-011","sample signal; response and null-space state"
"IF-024","VAL MAP upstream admission","policy","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","SCI-MAP:map_upstream_admission reserved only","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-004; SCI-MAP-REQ-010","unavailable","PROFILE REGISTRY GAP","F-003; F-004","XOD-003; XOD-005","VAL map-admission decision"
"IF-025","Optional conditioned-r diagnostic","optional r","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-108--114; SCI-RTC-REQ-131--136","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-030; SCI-PTC-REQ-078","explicit narrowing","EXPLICIT NARROWING","","","optional inert diagnostic branch"
"IF-026","Disabled PTC and direct CAL-to-MAP route","signal; lifecycle","SCI-PTC","packages/SCI-PTC/v0.1/src/common/equations.tex; packages/SCI-PTC/v0.1/src/common/requirements.tex","Equation disabled-route; SCI-PTC-REQ-076--077; SCI-PTC-REQ-088","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-002; SCI-MAP-REQ-004; SCI-MAP-REQ-010","unavailable","MISSING CONSUMER DISPOSITION","F-011; F-018","XOD-013; XOD-017","route identity and product realization"
"IF-027","Detector geometry and field rotation to AST","coordinate; uncertainty","EXTERNAL-APT/GEOMETRY","not supplied in admitted packet","external measured geometry and field-rotation authority","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-023--034","unavailable","IDENTITY OR GRID GAP","F-007","XOD-009","AST coordinate parent and uncertainty"
"IF-028","Independent-exposure profile record to VAL evaluation","policy; provenance","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","SCI-VAL:independent_exposure@1; Registry Rule item 9","SCI-VAL; downstream consumers","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-030; SCI-VAL-REQ-044; SCI-VAL-REQ-047","unavailable","PROFILE REGISTRY GAP","F-005","XOD-006","VAL source-current independent-exposure decision"
"IF-029","Aggregate/coadd profile to MAP coaddition","policy; aggregation","SCI-VAL","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","no registered aggregate or observation-coadd profile","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-036--041","unavailable","AGGREGATION GAP","F-015","XOD-007","observation-coadd admission and lifecycle"
"INV-001","Immutable parent chain","provenance","ALL SIX","package normative cores","ALIGN REQ-003/040; AST REQ-001/062; RTC REQ-010/035/124; CAL REQ-005; PTC REQ-046/050/071; VAL REQ-027/040","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-009; SCI-MAP-REQ-036; SCI-MAP-REQ-046; SCI-MAP-REQ-049","exact identity","COHERENT","","","sample identity and parent chain"
"INV-002","No identity reconstructed from position shape or name","identity","ALL SIX","package normative cores","ALIGN REQ-003; AST REQ-003--008; RTC REQ-084--085; CAL REQ-006--012; PTC REQ-004--006; VAL REQ-003","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-003; SCI-MAP-REQ-043--045","exact identity","COHERENT","","","sample identity and parent chain"
"INV-003","s j n d p remain distinct","identity","SCI-ALIGN; SCI-RTC; SCI-AST","package normative cores","ALIGN REQ-003; RTC REQ-028--029; AST REQ-073--076","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-003; SCI-MAP-REQ-005; SCI-MAP-REQ-011","exact identity","COHERENT","","","sample identity; coordinate; pixel relation"
"INV-004","Unavailable fact is not strengthened","all","ALL SIX","package normative cores","ALIGN REQ-052; AST REQ-057/060/069; RTC REQ-026/037/045; CAL REQ-034--038/046; PTC REQ-003/066/073/088; VAL REQ-025/036/038","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-008; SCI-MAP-REQ-022; SCI-MAP-REQ-050","compatible convention","COHERENT","","","availability and failure state"
"INV-005","Finite is not valid eligible or contributing","policy","ALL SIX","package normative cores","ALIGN REQ-034--036; AST REQ-012/054--057; RTC REQ-046; CAL REQ-045--046; PTC REQ-013; VAL REQ-023","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-004; SCI-MAP-REQ-010; SCI-MAP-REQ-033","compatible convention","COHERENT","","","VAL admission and MAP contribution"
"INV-006","Silence is not explicit cause absence","policy","ALL SIX","package normative cores","producer cause-family clauses","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-004--005","compatible convention","COHERENT","","","causes and influence"
"INV-007","Cause does not imply universal action","policy","SCI-ALIGN; SCI-RTC; SCI-PTC","package normative cores","ALIGN REQ-035--036; RTC REQ-019--020/052; PTC REQ-011--012","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-007; SCI-VAL-REQ-018--022","compatible convention","COHERENT","","","causes and use-specific policy"
"INV-008","Direct origin differs from transitive influence","support","SCI-ALIGN; SCI-RTC","package normative cores","ALIGN REQ-027--030; RTC DEF-011--013; RTC EQ-020a/b; RTC REQ-019--020","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-019--022","exact identity","COHERENT","","","origin; causes; influence"
"INV-009","Exact differs from conservative and confirmed from possible influence","support","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-052; SCI-RTC-REQ-114","SCI-VAL","packages/SCI-VAL/v0.1/src/common/requirements.tex","SCI-VAL-REQ-021--022","compatible convention","COHERENT","","","causes and influence"
"INV-010","Exposure support weight and significance remain distinct","support; uncertainty","SCI-ALIGN; SCI-CAL; SCI-PTC","package normative cores","ALIGN REQ-015/027--030; CAL REQ-033; PTC REQ-052--057","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-006--007; SCI-MAP-REQ-013; SCI-MAP-REQ-020--030","unavailable","SUPPORT / CAUSE / INFLUENCE / EXPOSURE GAP","F-019; F-023","XOD-014; XOD-018","support and exposure; analysis coefficient"
"INV-011","Quantity unit sign frame reference and beam changes are owned","signal","SCI-ALIGN; SCI-AST; SCI-CAL; SCI-PTC","package normative cores","ALIGN REQ-016/020; AST REQ-036--053; CAL REQ-001--003/013/040--044; PTC REQ-001/010/022","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-002; SCI-MAP-REQ-043--044","declared transformation","COHERENT","","","signal quantity unit frame beam convention"
"INV-012","Once-only transforms","signal; coordinate; response","SCI-ALIGN; SCI-AST; SCI-RTC; SCI-CAL; SCI-PTC","package normative cores","ALIGN REQ-008--010; AST REQ-014--015/033--034/077; RTC REQ-013/085/139; CAL REQ-014--016/039; PTC REQ-046/062/087","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-016--018","declared transformation","COHERENT","","","operator application count"
"INV-013","Stage-specific support stays stage-specific","support","ALL SIX","package normative cores","ALIGN REQ-030--031; AST REQ-054/058/078; RTC REQ-041/046; CAL REQ-030/039; PTC DEF-010--012 and REQ-012; VAL REQ-030--034","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-010--012; SCI-MAP-REQ-025--033","compatible convention","COHERENT","","","support and exposure"
"INV-014","Fixed full-procedure and complete-chain response remain distinct","response","SCI-ALIGN; SCI-RTC; SCI-CAL; SCI-PTC","package normative cores","ALIGN REQ-037; RTC REQ-037--041; CAL REQ-040--043; PTC REQ-061--068/087","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-008; SCI-MAP-REQ-016--017","explicit narrowing","RESPONSE GAP","F-012","XOD-011","response state"
"INV-015","Response companion follows signal parent support and order","response","SCI-RTC; SCI-CAL; SCI-PTC","package normative cores","RTC REQ-037--041; CAL REQ-039; PTC REQ-061--063/087","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-016--017","exact identity","COHERENT","","","response companion"
"INV-016","Null space and additive reference remain visible","response","SCI-PTC","packages/SCI-PTC/v0.1/src/common/equations.tex; packages/SCI-PTC/v0.1/src/common/requirements.tex","Equations ptc-subtraction and center-scale; SCI-PTC-REQ-022--023/083","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-018; SCI-MAP-REQ-036/050","declared transformation","NORMATIVE INTERNAL CONFLICT","F-001","XOD-001","response and null-space state"
"INV-017","Uncertainty categories stay typed","uncertainty","ALL SIX","package normative cores","ALIGN REQ-038--039; AST REQ-022/065--072; RTC REQ-042--045/135; CAL REQ-032--038; PTC REQ-057--060; VAL REQ-025","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-019--024","unavailable","UNCERTAINTY GAP","F-013","XOD-012","uncertainty and covariance availability"
"INV-018","Disabled not-requested unavailable invalid failed and no-product stay distinct","lifecycle","ALL SIX","package normative cores","ALIGN REQ-034/040/044; AST REQ-057--060; RTC REQ-049; CAL REQ-004/045--046; PTC REQ-066/076/088; VAL REQ-004/011--013","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-009/047--048","compatible convention","DISABLED OR FAILURE CONTRADICTION","F-011","XOD-017","availability and failure state"
"INV-019","Later generation does not rewrite earlier decisions","lifecycle","SCI-RTC; SCI-CAL; SCI-PTC; SCI-VAL","package normative cores","RTC EQ-028 and REQ-124--125; CAL REQ-005; PTC REQ-046--050; VAL REQ-027/040/048","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-009/037/049","exact identity","COHERENT","","","lifecycle generation and provenance"
"INV-020","Package and profile versions are replayable","provenance; policy","ALL SIX","package manifests and VAL binding register","ALIGN/AST SOURCE_MANIFEST; RTC/PTC freeze records; CAL/VAL/MAP active records; VAL SOURCE_BINDING_REGISTER","SCI-VAL; SCI-MAP","packages/SCI-VAL/v0.1/src/common/requirements.tex; packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-VAL-REQ-008/029/044/049; SCI-MAP-REQ-001/046","unavailable","SOURCE-BINDING OR VERSION GAP","F-003; F-016","XOD-003; XOD-016","source versions and profile binding"
"INV-021","Optional branches fail independently","optional r","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-026/086/108--114/131--136","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-030/078","explicit narrowing","EXPLICIT NARROWING","","","optional r availability"
"INV-022","MAP receives no implicit defaults","MAP handoff","SCI-AST; SCI-PTC; SCI-VAL","package normative cores","AST REQ-080--083; PTC REQ-052--055/069; VAL REQ-035/038/046/049","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-004--012; SCI-MAP-REQ-025--033; SCI-MAP-REQ-047--050","unavailable","OWNER DECISION REQUIRED","F-014; F-019; F-023; F-024","XOD-005; XOD-010; XOD-011; XOD-012; XOD-014; XOD-018; XOD-019","complete logical MAP handoff bundle"
"INV-023","MAP support-policy value is owner-authorized","support; policy; lifecycle","SCI-MAP","packages/SCI-MAP/v0.1/SCIENTIFIC_OWNER_DECISION_LEDGER.md","SCI-MAP-CI-001; SCI-MAP-OD-007 OPEN","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-031--032; SCI-MAP-REQ-036; SCI-MAP-REQ-047--048","unavailable","OWNER DECISION REQUIRED","F-024","XOD-019","support policy and availability/failure state"
"INV-024","Grid-changing preparation is explicitly owned","coordinate; aggregation; response; uncertainty","UNRESOLVED FUTURE PRODUCER","not supplied in admitted packet","no authorized canonical crop/pad/reprojection/mosaic operator","SCI-MAP","packages/SCI-MAP/v0.1/src/common/requirements.tex","SCI-MAP-REQ-037--045; SCI-MAP-OD-009","unavailable","OWNER DECISION REQUIRED","F-025","XOD-020","coadd grid identity and lifecycle"
