"invariant_id","short_name","producer_package","producer_source","producer_clause","consumer_package","consumer_source","consumer_clause","relation","status","finding_id","owner_decision_id"
"CHAIN-INV-011","exact immutable CAL parent","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-047--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-001; SCI-PTC-REQ-046; SCI-PTC-REQ-063","exact identity","COHERENT","HCF-001",""
"CHAIN-INV-012","point-source-equivalent input convention","SCI-CAL","src/common/requirements.tex; src/scientific-rationale.tex","SCI-CAL-REQ-002; SCI-CAL-REQ-040--043; rationale Sections 1--2 and 5","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-001; SCI-PTC-REQ-010; SCI-PTC-REQ-061; SCI-PTC-REQ-087","compatible convention","NORMATIVE INTERNAL CONFLICT","HCF-005","CHAIN-OD-005"
"CHAIN-INV-013","calibration and atmosphere not reapplied by PTC","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-013--016; SCI-CAL-REQ-020--031","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-001; SCI-PTC-REQ-078; SCI-PTC-REQ-087","exact identity","COHERENT","HCF-001",""
"CHAIN-INV-014","calibration lineage and uncertainty reach PTC","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-006--016; SCI-CAL-REQ-020--039; SCI-CAL-REQ-047--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-001--003; SCI-PTC-REQ-057--061; SCI-PTC-REQ-071","exact identity or unavailable","COHERENT","HCF-008","CHAIN-OD-007"
"CHAIN-INV-015","complete upstream response ending CAL grid","SCI-RTC; SCI-CAL","SCI-RTC src/common/definitions.tex; SCI-CAL src/scientific-rationale.tex and requirements.tex and decision ledger","SCI-RTC-DEF-004; SCI-CAL rationale noncommutation identity; SCI-CAL-REQ-039--043; SCI-CAL-REQ-047; CAL-OWNER-Q02","SCI-PTC","src/common/definitions.tex; src/common/requirements.tex","SCI-PTC-DEF-041; SCI-PTC-REQ-061--065; SCI-PTC-REQ-087","exact identity","RESPONSE GAP","HCF-004","CHAIN-OD-003"
"CHAIN-INV-016","CAL-grid companion begins at PTC","SCI-CAL","src/common/equations.tex; src/common/requirements.tex","SCI-CAL-EQ-008--009; SCI-CAL-REQ-031; SCI-CAL-REQ-039","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-061--065; SCI-PTC-REQ-087","declared transformation","COHERENT","HCF-001",""
"CHAIN-INV-017","complete RTC parent bound by PTC","SCI-RTC; SCI-CAL","SCI-RTC src/common/definitions.tex and requirements.tex; SCI-CAL src/common/requirements.tex","SCI-RTC-DEF-018; SCI-RTC-REQ-103--105; SCI-CAL-REQ-047--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-002","exact identity","MISSING PRODUCER GUARANTEE","HCF-007","CHAIN-OD-001; CHAIN-OD-006"
"CHAIN-INV-018","PTC use-specific support narrowing","SCI-RTC; SCI-CAL","SCI-RTC src/common/equations.tex and requirements.tex; SCI-CAL src/common/requirements.tex","SCI-RTC-EQ-020; SCI-RTC-REQ-019--020; SCI-CAL-REQ-045--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-003; SCI-PTC-REQ-011--017; SCI-PTC-REQ-089","narrowing of domain","EXPLICIT NARROWING","HCF-003",""
"CHAIN-INV-019","PTC output semantics and state","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-002; SCI-CAL-REQ-047--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-010; SCI-PTC-REQ-021--022; SCI-PTC-REQ-057--066; SCI-PTC-REQ-071; SCI-PTC-REQ-083; SCI-PTC-REQ-087--089","declared transformation","COHERENT","HCF-001",""
"CHAIN-INV-020","PTC disabled means no product","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-045--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-076--077","unavailable","COHERENT","HCF-009",""
"CHAIN-INV-021","downstream no strengthening","SCI-RTC; SCI-CAL","SCI-RTC src/common/requirements.tex; SCI-CAL src/common/requirements.tex","SCI-RTC-REQ-046--053; SCI-CAL-REQ-004; SCI-CAL-REQ-045--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-003; SCI-PTC-REQ-011--012; SCI-PTC-REQ-066; SCI-PTC-REQ-073--074","compatible convention","COHERENT","HCF-001",""
"CHAIN-INV-022","direct replacement and noncenter influence","SCI-RTC","src/common/equations.tex; src/common/requirements.tex","SCI-RTC-EQ-020; SCI-RTC-REQ-019--020","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-011--017","exact identity plus narrowing","COHERENT","HCF-003",""
"CHAIN-INV-023","CAL preservation of RTC cause axes","SCI-RTC","src/common/definitions.tex; src/common/requirements.tex","SCI-RTC-DEF-011--013; SCI-RTC-REQ-019--020; SCI-RTC-REQ-046--052","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-003--004; SCI-CAL-REQ-045--048","exact identity","MISSING CONSUMER DISPOSITION","HCF-006","CHAIN-OD-006"
"CHAIN-INV-024","stage-specific support remains distinct","SCI-RTC; SCI-CAL","SCI-RTC src/common/definitions.tex; SCI-CAL src/common/requirements.tex","SCI-RTC-DEF-010--013; SCI-CAL-REQ-031; SCI-CAL-REQ-039--043","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-011--017; SCI-PTC-REQ-057--066; SCI-PTC-REQ-087--089","compatible convention","COHERENT","HCF-003",""
"CHAIN-INV-025","conditional covariance continuity","SCI-RTC; SCI-CAL","SCI-RTC src/common/equations.tex; SCI-CAL src/common/equations.tex and requirements.tex","SCI-RTC-EQ-016--019; SCI-CAL-EQ-010--013; SCI-CAL-REQ-032--039","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-057--060; SCI-PTC-REQ-066; SCI-PTC-REQ-088","compatible convention","COHERENT","HCF-008","CHAIN-OD-007"
"CHAIN-INV-026","total uncertainty withheld when incomplete","SCI-CAL","src/common/requirements.tex; SCIENTIFIC_OWNER_DECISION_LEDGER.md","SCI-CAL-REQ-032--039; CAL-OWNER-Q08","SCI-PTC","src/common/requirements.tex; AUTHOR_DRAFT_DECISIONS.md","SCI-PTC-REQ-057--060; SCI-PTC-REQ-088; PTC-OWNER-OD-009","narrowing of claim","EXPLICIT NARROWING","HCF-008","CHAIN-OD-007"
"CHAIN-INV-027","required failure terminates route","SCI-RTC; SCI-CAL","SCI-RTC src/common/requirements.tex; SCI-CAL src/common/requirements.tex","SCI-RTC-REQ-049--053; SCI-CAL-REQ-045--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-003; SCI-PTC-REQ-066; SCI-PTC-REQ-073--076","unavailable","COHERENT","HCF-009",""
"CHAIN-INV-028","PTC does not repair upstream","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-045--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-003; SCI-PTC-REQ-073--074","compatible convention","COHERENT","HCF-001",""
"CHAIN-INV-029","response domains remain separate","SCI-RTC; SCI-CAL","SCI-RTC src/common/definitions.tex and equations.tex; SCI-CAL src/common/requirements.tex","SCI-RTC-DEF-010; SCI-RTC-EQ-006; SCI-CAL-REQ-039--043","SCI-PTC","src/common/definitions.tex; src/common/requirements.tex","SCI-PTC-DEF-041; SCI-PTC-REQ-061--066; SCI-PTC-REQ-087","compatible convention","COHERENT","HCF-004","CHAIN-OD-003"
"CHAIN-INV-030","PTC full-procedure is not whole chain","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-047--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-063--065; SCI-PTC-REQ-087","narrowing of domain","COHERENT","HCF-001",""
"CHAIN-INV-031","raw r bypasses CAL","SCI-RTC","src/common/equations.tex; src/common/requirements.tex","SCI-RTC-EQ-004; SCI-RTC-REQ-092; SCI-RTC-REQ-103; SCI-RTC-REQ-108","SCI-CAL; SCI-PTC","SCI-CAL src/common/requirements.tex; SCI-PTC src/common/requirements.tex","SCI-CAL-REQ-001; SCI-PTC-REQ-078","narrowing of domain","COHERENT","HCF-010",""
"CHAIN-INV-032","absent conditioned-r blocks optional branch only","SCI-RTC","SCIENTIFIC_OWNER_DECISION_LEDGER.md; src/common/requirements.tex","RTC owner entry 071; SCI-RTC-REQ-108","SCI-PTC","AUTHOR_DRAFT_DECISIONS.md; src/common/requirements.tex","PTC-OWNER-OD-005; SCI-PTC-REQ-078","unavailable","COHERENT","HCF-010","CHAIN-OD-008"
"CHAIN-INV-033","incompatible conditioned-r grid blocks optional branch","SCI-RTC","src/common/requirements.tex","SCI-RTC-REQ-108","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-078; SCI-PTC-REQ-087","unavailable","COHERENT","HCF-010","CHAIN-OD-008"
"CHAIN-INV-034","numeric CAL atmosphere authority","SCI-CAL","src/common/assumptions.tex; SCIENTIFIC_OWNER_DECISION_LEDGER.md","SCI-CAL-ASM-011; CAL-OWNER-Q06","SCI-PTC","src/common/requirements.tex; AUTHOR_DRAFT_DECISIONS.md","SCI-PTC-REQ-001; PTC-OWNER-OD-007","unavailable","MISSING PRODUCER GUARANTEE","HCF-011","CHAIN-OD-004"
"CHAIN-INV-035","RTC then CAL then PTC order","SCI-RTC; SCI-PTC","SCI-RTC src/common/equations.tex and requirements.tex; SCI-PTC README.md and requirements.tex","SCI-RTC-EQ-004; SCI-RTC-REQ-013; SCI-PTC-REQ-001","SCI-CAL","SCIENTIFIC_OWNER_DECISION_LEDGER.md; src/scientific-rationale.tex","CAL-OWNER-Q02; rationale Section 2","declared transformation","OWNER DECISION REQUIRED","HCF-012","CHAIN-OD-002"
"CHAIN-INV-036","ambiguous CAL association yields no output","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-006--012; SCI-CAL-REQ-045--046","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-001--003","unavailable","COHERENT","HCF-009",""
"CHAIN-INV-037","atmosphere outside support yields no output","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-021--031; SCI-CAL-REQ-045--046","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-001--003","unavailable","COHERENT","HCF-009",""
"CHAIN-INV-038","PTC fit-excluded application-allowed state","SCI-CAL; SCI-RTC","SCI-CAL src/common/requirements.tex; SCI-RTC src/common/requirements.tex","SCI-CAL-REQ-045--048; SCI-RTC-REQ-046--052","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-015; SCI-PTC-REQ-089","narrowing of domain","EXPLICIT NARROWING","HCF-003",""
"CHAIN-INV-039","PTC product may exist with covariance unavailable","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-032--039; SCI-CAL-REQ-045--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-057--060; SCI-PTC-REQ-066; SCI-PTC-REQ-088","compatible convention","COHERENT","HCF-008","CHAIN-OD-007"
"CHAIN-INV-040","direct CAL-to-MAP route outside profile","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-047--048","SCI-PTC","src/common/requirements.tex","SCI-PTC-REQ-076--077","outside scope","COHERENT","HCF-009",""
"CHAIN-INV-041","fixed nominal beam identity","SCI-CAL","src/common/definitions.tex; src/common/requirements.tex","SCI-CAL response-basis definition; SCI-CAL-REQ-040--043","SCI-PTC","src/common/assumptions.tex; src/common/requirements.tex","SCI-PTC-ASM-001; SCI-PTC-REQ-001; SCI-PTC-REQ-010","compatible convention or declared transformation","CONSUMER STRENGTHENING","HCF-013","CHAIN-OD-005"
